gene_id	gene_name	ZR1-D	ZR1-V	ZR3-D	ZR3-V	ZR4-D	ZR4-V	ZR5-D	ZR5-V	ZR6-D	ZR6-V	ZR7-D	ZR7-V
ENSG00000118276	B4GALT6	0.712265585368347	0.30349959178416475	0.12771895488307194	0.8211243843715379	-0.08829784020589226	0.029106615851745676	0.544654607660477	0.38572526507541616	0.5567881139145281	0.3337371136556122	0.24139783740810117	0.2251386861573672
ENSG00000118298	CA14	-0.6055703649243802	-0.33001743178072607	0.2625025065451809	0.2009365250234878	0.029106615851745676	0.3347497185879629	0.15986765100491818	0.08378559733019708	-0.12791095098969096	-0.09053279740165676	0.4726503335126533	0.10680209133863539
ENSG00000118307	CASC1	3.131327408458347	3.412807247519855	1.7742561413298144	1.8930356449714154	1.7617669840394656	1.7311127382318203	1.4089478126660377	1.487706972702437	1.2207020609331272	0.8996150042882829	0.6984394090246853	1.0564300205022468
ENSG00000118322	ATP10B	0.30858812813416003	0.6320785355558023	0.0755668694627949	-0.06261720821251471	-1.4227425520395562	-0.009562466173274498	-0.2546435863199834	-0.8372720708880919	-0.2546435863199834	-0.3939802558935468	-0.7349964863927343	-0.4233320508907106
ENSG00000118363	SPCS2	3.5632721131284812	3.289322385765153	3.903252018426081	3.8322262385832193	3.6366752043421666	3.720568611474333	3.592118864103892	3.8122465636256444	3.6432035553477613	3.8322262385832193	3.7713180055254	3.7546265789453317
ENSG00000118369	USP35	0.5330866443012594	0.3138819213093069	0.54288062820794325	0.544654607660477	0.2461558687368277	0.3337371136556122	0.5368722606149605	0.45598563461683383	0.2811464420822616	0.11741538765861259	0.22868132412865227	0.5183905741702803
ENSG00000118402	ELOVL4	0.6759862324712373	0.6426423672258683	1.0797146544588663	0.8205161621817205	0.524756941544307	-0.08594766140034782	-0.3495825610496177	-0.041704464669496843	0.009018284463548909	-0.17957579610278573	0.06734121594517894	-0.47257481182526506
ENSG00000118412	CASP8AP2	2.878842334832443	3.4090957655945133	2.5466482850760688	3.106019135866136	3.2666361436331504	3.2470237859041364	3.2395387570445897	3.1127272719896038	3.305574987178775	3.2177970848365733	3.4100816173988857	3.329595852181701
ENSG00000118418	HMGN3	4.306836934457728	3.6105117238632802	4.670931115241407	4.251866168049503	3.9251098301166216	3.749401750331364	3.825919535138088	4.2590704591410695	3.6528189984050297	3.7751836127298755	3.8583826866277215	4.16445098369792
ENSG00000118420	UBE3D	0.22632667436715082	0.5368722606149605	0.3755560380043259	0.4045921162629229	-0.3393603206799223	-0.5829387317425296	0.08378559733019708	0.14233596554013106	0.0411895688854802	-0.0037219319521848426	0.28012997863068767	-0.18912126384973327
ENSG00000118454	ANKRD13C	3.120305235090635	3.4566127721181603	3.4066525734694615	3.2477479500568096	3.448622978271649	3.419197982266477	3.356373169759161	3.3282392847797815	3.4148477588931225	3.089958042700583	3.388716559026874	3.4007349831769926
ENSG00000118482	PHF3	4.342144914651053	4.451820283763533	4.008125432638828	4.1424942002369125	4.632512440879246	4.58897474983022	4.663096229429768	4.299835685691504	4.536847215273124	4.470009238576528	4.562686361529125	4.35749746568879
ENSG00000118492	ADGB	0.2822364018328063	0.7672149548131348	-0.14155982455696892	-0.41094961502142757	-1.4103877564486704	-0.9460126316838227	-1.7422419302146062	-1.2653692032127082	-1.079044477946114	-1.9613443668093615	-1.663294638550576	-1.3623697806033763
ENSG00000118496	FBXO30	3.4215424985207354	3.6237332118099634	3.277641034772598	3.688724522359179	3.550282580878449	3.4937499136186294	3.6975642606493295	3.819562256460791	3.9149713121032006	3.6858869630873654	3.7842362263585443	3.752483154364608
ENSG00000118503	TNFAIP3	0.17305278712017413	0.11596162055936787	-0.33001743178072607	-0.571495546448082	-0.4450878339842017	-0.4233320508907106	-0.9033105469423561	-0.9460126316838227	-0.6178537042135139	-0.6612459641948774	-0.5606975580251152	-0.5829387317425296
ENSG00000118507	AKAP7	-0.2924641275994082	0.24371802643868223	-0.04371291610346795	-0.247352959001236	-1.3933833646077347	-0.8046434083069136	-1.698834469523883	-1.007712270623926	-0.48679027354238213	-0.8668610204512786	-0.7568808275549199	-1.007712270623926
ENSG00000118508	RAB32	2.5089244620231197	3.0045958971193896	2.784105354930788	2.782926954479173	1.7769451696530087	1.6159588111371759	1.633326851886558	1.993884391988234	2.070425776626567	2.2084542437516848	1.725502330564133	1.8614762847120803
ENSG00000118513	MYB	4.980365685611952	4.520280216277024	4.632913654040639	4.1641007859127175	4.268158762607436	3.9907780067381253	4.437480276870846	4.35522715624164	4.168934351876094	3.9054194403386795	4.222648870580998	4.141412747588532
ENSG00000118514	ALDH8A1	0.019845403451419497	-1.5463864547031183	0.3746258603929542	-0.2259640552486406	-0.5387472800702562	-0.3495825610496177	-0.3346302248459456	-0.08829784020589226	-0.8372720708880919	-0.6807093968591977	-0.5491675493935277	-0.6178537042135139
ENSG00000118518	RNF146	3.758106809500672	3.3244638424467667	3.7354425166792367	3.717032970295674	3.9788919663919735	3.83816641795074	3.95943470470965	3.8374642515835182	3.886685059943724	3.850343968686944	3.9432376556359405	4.076215247890003
ENSG00000118523	CCN2	0.2484183310237955	0.6522089559644519	0.3974270677099119	0.13193265603539128	-1.4333580308520522	-1.7635692505314906	-3.167235828884088	-1.4563126051085056	-1.2936547050331186	-0.6807093968591977	-1.3501268848863135	-1.8045010797199965
ENSG00000118564	FBXL5	4.378772262767645	4.453030792253651	4.179911739051838	4.2487747985964415	4.241649116916138	4.3201630731050775	4.293120306430015	4.2211943538063075	4.4336312614689595	4.2140013675020125	4.342560805544772	4.304917286841646
ENSG00000118579	MED28	5.34829612974747	4.900349605824528	5.417138558251217	5.198957329481315	4.7617847042796235	4.658103032427597	4.741487893374968	4.993133216661165	4.847091566465618	4.893939023105866	4.7255167743357465	4.873987108815211
ENSG00000118600	RXYLT1	2.8705423399953354	2.8656320092228906	3.3986586683494022	2.875980804334274	2.4444598458475073	2.4741330024959023	2.282018599626153	2.581890691360538	2.688593616445229	2.5589897890815783	2.4873493351638674	2.7726008257860895
ENSG00000118620	ZNF430	1.2301844479932234	0.8307890230397619	1.049289899165502	1.3193853549297607	1.5304811847572999	1.3292621892767094	1.6570659232920488	1.1232993846015593	1.0821340782787323	1.5065591023452198	1.4317515830989487	1.3546413077622699
ENSG00000118640	VAMP8	5.164910406937306	5.158187558822762	5.373951600490443	5.134653722746693	5.004256747897705	4.991257328480507	5.013558729608089	5.319021545840853	5.238805673090942	5.145178726271852	4.9474170650100735	5.156522764842382
ENSG00000118655	DCLRE1B	1.9030862817667422	2.5432053801143497	2.365763179947419	2.497152607036726	1.8043439670806765	1.738632097670459	1.5712689563342626	2.009699559706074	1.9581100806530134	2.0667168643618283	2.1382989793785274	2.131079448536536
ENSG00000118680	MYL12B	7.419898194338698	7.264192281547032	7.6777987557800795	7.473161200980725	6.78761685364914	6.555578985521144	6.6081438648029085	6.69037252302792	6.858611056297251	6.992428592608272	6.742464841725569	6.984289596639794
ENSG00000118689	FOXO3	3.1515533048804536	3.4858903684453457	2.6656864297273755	2.8780643117489424	3.2011891372440577	3.3473689514304605	3.241339456773265	3.3196693927648724	3.2391930599867154	3.3720065770294854	3.282237743224492	3.3595677818644267
ENSG00000118690	ARMC2	0.6557124655340743	0.45356413170647025	0.2940778803833095	0.12905150538691545	0.3983479262584524	0.36897753404855216	0.14785021589199232	0.23226914512447117	-0.2710873478943632	-0.571495546448082	-0.715468880009658	-0.23635018166269806
ENSG00000118705	RPN2	7.23691601005036	7.00611871214611	7.19397463260896	7.253884401660414	7.411941708837325	7.335521006503377	7.335521006503377	7.4001195077649875	7.346639037913329	7.384561113540284	7.3962082511235465	7.473161200980725
ENSG00000118707	TGIF2	3.681801579793699	3.412134536192727	4.067935289577222	3.819916517561269	3.455188790146392	3.3237526816010443	3.4948014273609016	3.5015937376629354	3.4280227468386295	3.3774398493197286	3.649699743388735	3.332823672005657
ENSG00000118762	PKD2	2.457824026283147	2.2782080260393482	2.146175682924989	2.547824285841451	2.8593233861817446	2.9628630097207562	3.0497308691805314	3.0045958971193896	2.911465009818172	3.062676804699273	3.1267553826113956	3.222325377818418
ENSG00000118804	STBD1	-0.52917117758202	-0.22225954854386742	0.39657450201940625	-0.6807093968591977	-1.9403137811659268	-0.7801585957111574	-1.938805346716125	-0.8372720708880919	-0.7801585957111574	-0.6807093968591977	-0.7568808275549199	-0.6055703649243802
ENSG00000118816	CCNI	7.220203722884713	6.910881045586169	6.677684746410012	6.954912838088269	7.6323220558576566	7.8727996318911515	7.64224364527991	7.23691601005036	7.2102955412708845	7.725557346325489	7.731016568740738	7.253884401660414
ENSG00000118855	MFSD1	4.746709782516742	4.477902311047918	4.6384861461006235	4.783497081755617	4.804434337383553	4.7974510746804295	4.826612719373983	4.960424098230161	4.770447068231196	4.749668044530602	4.780924569569102	4.82883277320688
ENSG00000118873	RAB3GAP2	5.17632674399114	5.417759400510589	4.727625650053174	4.98141498057181	5.9327760375685585	6.122346189027269	6.028404633560038	5.898940661001104	5.940296680173778	5.837358121933805	5.97292178595324	5.929509283825084
ENSG00000118894	EEF2KMT	1.8378497205102335	2.1597221395282817	2.4290582832022602	2.4499966002704934	1.9622386871795414	2.1049874610582187	1.9414744611163346	1.9666251928125416	2.0375038629710343	2.17590786224298	2.0020184317754106	1.711901449551743
ENSG00000118898	PPL	4.236378337184563	4.345179572555027	3.720568611474333	4.12642652525932	4.206289258429916	4.329199485943573	4.227315998232138	3.782426569150449	3.863877306127501	4.208578704596805	4.202602740413002	4.025783618855024
ENSG00000118900	UBN1	5.416466231265651	5.519309741982701	4.862600534415048	5.199482564081613	5.597513810174093	5.616481300424606	5.5882217208831255	5.468190658049344	5.501326498142342	5.481975997682918	5.641263753952179	5.501326498142342
ENSG00000118903	BTF3P11	0.9760322327264732	0.48530551829578705	0.748739731536598	0.9397534682251791	1.1639398879947644	0.6964429740741882	1.2195375811383427	0.5907290229786932	0.8140136426146323	0.369933591993322	0.9452255243692118	0.20222176802856184
